All calculations,Bus 01,Bus 02,Bus 03,Bus 04,Bus 05,Bus 06,Bus 07,Bus 08,Bus 09,Bus 10,Bus 11,Bus 12,Bus 13,Bus 14,Bus 15,Bus 16,Bus 17,Bus 18,Bus 19,Bus 20,Bus 21,Bus 22,Bus 23,Bus 24,Bus 25,Bus 26,Bus 27,Bus 28,Bus 29,Bus 30,Bus 31,Bus 32,Bus 33,Bus 34,Bus 35,Bus 36,Bus 37,Bus 38,Bus 39,G 01,G 02,G 03,G 04,G 05,G 06,G 07,G 08,G 09,G 10
"Time in s","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u."
-0.100000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
-0.090000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000128
-0.080000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,1.000000,0.999999,1.000000,1.000369
-0.070000,60.000630,60.000940,60.000715,60.000543,60.000456,60.000438,60.000452,60.000458,60.000437,60.000408,60.000418,60.000422,60.000425,60.000467,60.000433,60.000407,60.000514,60.000593,60.000254,60.000215,60.000330,60.000247,60.000247,60.000396,60.000775,60.000575,60.000555,60.000458,60.000408,60.001693,60.000276,60.000267,60.000179,60.000134,60.000165,60.000114,60.000467,60.000282,60.000424,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,1.000000,0.999999,1.000000,1.000612
-0.060000,60.002388,60.003938,60.002728,60.001819,60.001492,60.001432,60.001459,60.001472,60.001461,60.001356,60.001383,60.001401,60.001418,60.001570,60.001478,60.001422,60.001864,60.002194,60.000883,60.000726,60.001167,60.000892,60.000886,60.001364,60.003096,60.002153,60.002026,60.001666,60.001490,60.007525,60.000882,60.000906,60.000624,60.000468,60.000614,60.000449,60.001975,60.001073,60.001454,1.000001,1.000001,1.000001,1.000001,0.999999,1.000001,0.999999,1.000000,1.000001,1.000834
-0.050000,60.004058,60.006626,60.004578,60.003055,60.002543,60.002451,60.002487,60.002505,60.002516,60.002325,60.002370,60.002396,60.002421,60.002658,60.002498,60.002411,60.003141,60.003687,60.001559,60.001280,60.001998,60.001553,60.001540,60.002306,60.005227,60.003627,60.003407,60.002810,60.002523,60.012592,60.001644,60.001612,60.001182,60.000854,60.001107,60.000840,60.003463,60.001852,60.002524,1.000002,1.000002,1.000002,1.000002,0.999998,1.000001,0.999999,1.000001,1.000002,1.001040
-0.040000,60.005651,60.009135,60.006313,60.004229,60.003553,60.003431,60.003476,60.003500,60.003546,60.003261,60.003322,60.003355,60.003388,60.003698,60.003468,60.003349,60.004346,60.005093,60.002199,60.001810,60.002794,60.002194,60.002171,60.003202,60.007229,60.005019,60.004711,60.003901,60.003514,60.017267,60.002392,60.002316,60.001701,60.001234,60.001599,60.001224,60.004902,60.002613,60.003579,1.000004,1.000003,1.000003,1.000003,0.999998,1.000003,0.999999,1.000004,1.000004,1.001227
-0.030000,60.007145,60.011431,60.007919,60.005338,60.004522,60.004376,60.004428,60.004456,60.004544,60.004164,60.004240,60.004277,60.004316,60.004689,60.004390,60.004243,60.005479,60.006404,60.002832,60.002335,60.003558,60.002819,60.002786,60.004056,60.009082,60.006323,60.005932,60.004935,60.004459,60.021471,60.003142,60.003016,60.002240,60.001617,60.002093,60.001611,60.006282,60.003354,60.004605,1.000007,1.000004,1.000006,1.000005,0.999997,1.000004,0.999999,1.000007,1.000006,1.001396
-0.020000,60.008539,60.013520,60.009396,60.006380,60.005444,60.005275,60.005335,60.005368,60.005503,60.005026,60.005115,60.005157,60.005200,60.005626,60.005260,60.005085,60.006536,60.007618,60.003438,60.002843,60.004285,60.003423,60.003378,60.004862,60.010790,60.007537,60.007071,60.005912,60.005357,60.025228,60.003874,60.003702,60.002760,60.001996,60.002583,60.001994,60.007601,60.004074,60.005596,1.000010,1.000007,1.000008,1.000008,0.999997,1.000006,1.000000,1.000013,1.000009,1.001545
